id_dnia,id_miesiaca,dzien
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,2,1
30,2,2
31,2,3
32,2,4
33,2,5
34,2,6
35,2,7
36,2,8
37,2,9
38,2,10
39,2,11
40,2,12
41,2,13
42,2,14
43,2,15
44,2,16
45,2,17
46,2,18
47,2,19
48,2,20
49,2,21
50,2,22
51,2,23
52,2,24
53,2,25
54,2,26
55,2,27
56,2,28
57,3,1
58,3,2
59,3,3
60,3,4
61,3,5
62,3,6
63,3,7
64,3,8
65,3,9
66,3,10
67,3,11
68,3,12
69,3,13
70,3,14
71,3,15
72,3,16
73,3,17
74,3,18
75,3,19
76,3,20
77,3,21
78,3,22
79,3,23
80,3,24
81,3,25
82,3,26
83,3,27
84,3,28
85,4,1
86,4,2
87,4,3
88,4,4
89,4,5
90,4,6
91,4,7
92,4,8
93,4,9
94,4,10
95,4,11
96,4,12
97,4,13
98,4,14
99,4,15
100,4,16
101,4,17
102,4,18
103,4,19
104,4,20
105,4,21
106,4,22
107,4,23
108,4,24
109,4,25
110,4,26
111,4,27
112,4,28
113,5,1
114,5,2
115,5,3
116,5,4
117,5,5
118,5,6
119,5,7
120,5,8
121,5,9
122,5,10
123,5,11
124,5,12
125,5,13
126,5,14
127,5,15
128,5,16
129,5,17
130,5,18
131,5,19
132,5,20
133,5,21
134,5,22
135,5,23
136,5,24
137,5,25
138,5,26
139,5,27
140,5,28
141,6,1
142,6,2
143,6,3
144,6,4
145,6,5
146,6,6
147,6,7
148,6,8
149,6,9
150,6,10
151,6,11
152,6,12
153,6,13
154,6,14
155,6,15
156,6,16
157,6,17
158,6,18
159,6,19
160,6,20
161,6,21
162,6,22
163,6,23
164,6,24
165,6,25
166,6,26
167,6,27
168,6,28
169,7,1
170,7,2
171,7,3
172,7,4
173,7,5
174,7,6
175,7,7
176,7,8
177,7,9
178,7,10
179,7,11
180,7,12
181,7,13
182,7,14
183,7,15
184,7,16
185,7,17
186,7,18
187,7,19
188,7,20
189,7,21
190,7,22
191,7,23
192,7,24
193,7,25
194,7,26
195,7,27
196,7,28
197,8,1
198,8,2
199,8,3
200,8,4
201,8,5
202,8,6
203,8,7
204,8,8
205,8,9
206,8,10
207,8,11
208,8,12
209,8,13
210,8,14
211,8,15
212,8,16
213,8,17
214,8,18
215,8,19
216,8,20
217,8,21
218,8,22
219,8,23
220,8,24
221,8,25
222,8,26
223,8,27
224,8,28
225,9,1
226,9,2
227,9,3
228,9,4
229,9,5
230,9,6
231,9,7
232,9,8
233,9,9
234,9,10
235,9,11
236,9,12
237,9,13
238,9,14
239,9,15
240,9,16
241,9,17
242,9,18
243,9,19
244,9,20
245,9,21
246,9,22
247,9,23
248,9,24
249,9,25
250,9,26
251,9,27
252,9,28
253,10,1
254,10,2
255,10,3
256,10,4
257,10,5
258,10,6
259,10,7
260,10,8
261,10,9
262,10,10
263,10,11
264,10,12
265,10,13
266,10,14
267,10,15
268,10,16
269,10,17
270,10,18
271,10,19
272,10,20
273,10,21
274,10,22
275,10,23
276,10,24
277,10,25
278,10,26
279,10,27
280,10,28
281,11,1
282,11,2
283,11,3
284,11,4
285,11,5
286,11,6
287,11,7
288,11,8
289,11,9
290,11,10
291,11,11
292,11,12
293,11,13
294,11,14
295,11,15
296,11,16
297,11,17
298,11,18
299,11,19
300,11,20
301,11,21
302,11,22
303,11,23
304,11,24
305,11,25
306,11,26
307,11,27
308,11,28
309,12,1
310,12,2
311,12,3
312,12,4
313,12,5
314,12,6
315,12,7
316,12,8
317,12,9
318,12,10
319,12,11
320,12,12
321,12,13
322,12,14
323,12,15
324,12,16
325,12,17
326,12,18
327,12,19
328,12,20
329,12,21
330,12,22
331,12,23
332,12,24
333,12,25
334,12,26
335,12,27
336,12,28
