id_gabinetu,id_przychodni,nr_pokoju,pietro
1,1,21,3
2,1,40,1
3,1,16,3
4,1,90,2
5,1,81,1
6,2,2,3
7,2,58,2
8,2,13,2
9,2,17,2
10,2,11,1
11,3,48,3
12,3,56,1
13,3,70,2
14,3,58,1
15,3,73,1
16,4,22,2
17,4,94,2
18,4,9,3
19,4,3,3
20,4,93,3
21,5,68,2
22,5,85,1
23,5,45,1
24,5,29,3
25,5,19,2
26,6,61,3
27,6,20,2
28,6,47,2
29,6,39,3
30,6,43,2
31,7,52,2
32,7,7,2
33,7,60,3
34,7,27,2
35,7,69,1
36,8,23,1
37,8,29,1
38,8,59,2
39,8,12,1
40,8,70,1
41,9,6,2
42,9,53,2
43,9,65,3
44,9,58,1
45,9,3,2
46,10,56,3
47,10,92,2
48,10,25,2
49,10,39,1
50,10,11,3
